Name,Url,Star Count,Fork Count
laravel-binlog,https://github.com/telanflow/laravel-binlog,19,3
SurfSocks,https://github.com/Incognito-Coder/SurfSocks,18,5
graphql-gutenblock-example,https://github.com/wp-graphql/graphql-gutenblock-example,17,5
LC-update-notifier,https://github.com/LCweb-ita/LC-update-notifier,17,2
hawk.php,https://github.com/codex-team/hawk.php,17,1
custom_from,https://github.com/r3c/custom_from,16,12
phln,https://github.com/baethon/phln,16,2
managed-edition,https://github.com/contao/managed-edition,15,12
codeigniter_ecommerce,https://github.com/agabardo/codeigniter_ecommerce,15,10
annotation-cache-bundle,https://github.com/eMAGTechLabs/annotation-cache-bundle,15,6
Simple-PHP-Soap-Service,https://github.com/modernfidelity/Simple-PHP-Soap-Service,15,5
juggler,https://github.com/upfor/juggler,15,3
net,https://github.com/Fuwn/net,13,6
appgini-customization-cookbook,https://github.com/bigprof-software/appgini-customization-cookbook,13,5
symfony-schedule-bundle,https://github.com/m-adamski/symfony-schedule-bundle,13,2
deepl-api-connector,https://github.com/SC-Networks/deepl-api-connector,12,12
node-php-fpm,https://github.com/ivanfilhoz/node-php-fpm,12,10
bpost-address-webservice,https://github.com/spatie/bpost-address-webservice,12,9
LiipSoapRecorderBundle,https://github.com/liip/LiipSoapRecorderBundle,12,4
estonianpin,https://github.com/lkallas/estonianpin,12,2
LemonsJ,https://github.com/gitxjl/LemonsJ,12,2
qrcode-demo,https://github.com/aisuhua/qrcode-demo,11,7
LoginRegisterExample,https://github.com/aniketkatkar/LoginRegisterExample,11,7
bkfa,https://github.com/damminhtien/bkfa,11,5
WEBSITE,https://github.com/easyphp/WEBSITE,11,4
php-vw-car-net,https://github.com/thomasesmith/php-vw-car-net,11,3
cfdi-xslt,https://github.com/Kinedu/cfdi-xslt,11,1
php_koans,https://github.com/akoebbe/php_koans,10,12
image,https://github.com/contao/image,10,5
random-password-generator,https://github.com/eftakhairul/random-password-generator,10,4
wp-digest.com,https://github.com/mihdan/wp-digest.com,10,3
IdCenterSender-so,https://github.com/whiteCcinn/IdCenterSender-so,10,3
BasicApiBundle,https://github.com/CondeNastDigitalRU/BasicApiBundle,10,2
khude-barta,https://github.com/arman-bd/khude-barta,10,2
util4p,https://github.com/newnius/util4p,10,1
Library-Management-System,https://github.com/SatyamSoni23/Library-Management-System,10,1
php-inotify-monitor,https://github.com/idimsh/php-inotify-monitor,10,1
felicio,https://github.com/geekcom/felicio,10,1
textsnippet,https://github.com/swisnl/textsnippet,10,1
schema-builder,https://github.com/cycle/schema-builder,9,12
php-ajax-login,https://github.com/reyven90/php-ajax-login,9,7
formz,https://github.com/romm/formz,9,6
dir2json,https://github.com/Darkseal/dir2json,9,5
My-Post-Android-App-And-Admin-Panel,https://github.com/Dinesh2510/My-Post-Android-App-And-Admin-Panel,9,3
phone-directory,https://github.com/tauseedzaman/phone-directory,9,2
aeneria-app,https://github.com/aeneria/aeneria-app,9,1
lemon-framework,https://github.com/chanywn/lemon-framework,9,1
charts-block,https://github.com/thisissandip/charts-block,9,1
wordpress,https://github.com/jelastic-jps/wordpress,8,35
Nature_Beauty,https://github.com/Surajbokde/Nature_Beauty,8,28
exibir-campos-personalizados,https://github.com/opencartbrasil/exibir-campos-personalizados,8,14
Laravel-Youtube-Api-3,https://github.com/ajitdas123/Laravel-Youtube-Api-3,8,8
sspanel,https://github.com/sunben/sspanel,8,8
flbw,https://github.com/flavienbwk/flbw,8,7
pascal_bcrypt,https://github.com/hiraethbbs/pascal_bcrypt,8,7
Income-Expense-Manager,https://github.com/alshoja/Income-Expense-Manager,8,7
FrontKanban,https://github.com/notrinos/FrontKanban,8,6
php-google-tts-example,https://github.com/francescomalatesta/php-google-tts-example,8,6
php-murmurhash,https://github.com/rryqszq4/php-murmurhash,8,6
MultiLevelMenu,https://github.com/jdriesen/MultiLevelMenu,8,6
pjlink,https://github.com/multiOTP/pjlink,8,5
mastercrud,https://github.com/atk4/mastercrud,8,5
modxFastRouter,https://github.com/vanchelo/modxFastRouter,8,5
LaravelTracker,https://github.com/ARCANEDEV/LaravelTracker,8,4
ZYaller,https://github.com/ZYallers/ZYaller,8,4
http-signature,https://github.com/jasny/http-signature,8,4
social-media-aggregator-bundle,https://github.com/milosa/social-media-aggregator-bundle,8,4
Piscine-PHP,https://github.com/mdubus/Piscine-PHP,8,4
igfeedliker,https://github.com/auliaahmad165/igfeedliker,8,4
ItemCF-php,https://github.com/owenliang/ItemCF-php,8,4
php-json-path,https://github.com/remorhaz/php-json-path,8,3
kata-quickstarter,https://github.com/teamneusta/kata-quickstarter,8,3
khofo,https://github.com/khofaai/khofo,8,3
rocket-chat-notifier,https://github.com/symfony/rocket-chat-notifier,8,3
scarlet,https://github.com/liu599/scarlet,8,3
dataclass,https://github.com/rutek/dataclass,8,3
adminaut,https://github.com/adminaut/adminaut,8,2
QuickCommunity,https://github.com/halojoy/QuickCommunity,8,2
VLThemes-Add-Custom-Fonts-To-Kirki,https://github.com/vlthemes/VLThemes-Add-Custom-Fonts-To-Kirki,8,2
nyaa-ddl,https://github.com/z7i/nyaa-ddl,8,2
php-hooks,https://github.com/tommy-muehle/php-hooks,8,2
Stats_Rust,https://github.com/WhiteAssassins/Stats_Rust,8,2
cakephp-cms,https://github.com/QoboLtd/cakephp-cms,8,2
AS_MS17-010_Scan,https://github.com/Medicean/AS_MS17-010_Scan,8,2
scripture,https://github.com/aviraltandon21/scripture,8,2
intercom,https://github.com/mediumart/intercom,8,1
laractive-admin,https://github.com/enomotodev/laractive-admin,8,1
pingpong_socket,https://github.com/faridfr/pingpong_socket,8,1
YO-CAB,https://github.com/zainthecoder/YO-CAB,8,1
webman-event,https://github.com/Tinywan/webman-event,8,1
toko-app,https://github.com/fauzan1892/toko-app,8,1
Prefab,https://github.com/neighborhoods/Prefab,8,1
dnmp,https://github.com/miaoquna/dnmp,8,1
RSSifier,https://github.com/oliveratgithub/RSSifier,8,1
Multive,https://github.com/roufy235/Multive,8,1
webman-permission,https://github.com/php-casbin/webman-permission,8,1
Np,https://github.com/ghostjat/Np,8,1
redistree,https://github.com/mmeyer2k/redistree,8,1
Volta,https://github.com/azuyalabs/Volta,8,1
php-linode-api,https://github.com/hnhdigital-os/php-linode-api,8,1
simpleid-yubikey,https://github.com/neverpanic/simpleid-yubikey,8,1
sse-chat-example,https://github.com/lcherone/sse-chat-example,8,1
peculiar,https://github.com/r15ch13/peculiar,8,1
php-event-sourcing-demo,https://github.com/keithmifsud/php-event-sourcing-demo,8,1
docker-scripts,https://github.com/EpicMorg/docker-scripts,8,1
AndroidWorkShop,https://github.com/Moeinh77/AndroidWorkShop,8,1
Notification,https://github.com/AJ3600/Notification,7,14
Truth-OR-Dare-Game,https://github.com/vinitshahdeo/Truth-OR-Dare-Game,7,9
e_learn,https://github.com/HarshGundecha/e_learn,7,9
reactphp-http-middleware-webroot-preload,https://github.com/WyriHaximus/reactphp-http-middleware-webroot-preload,7,8
yii2-shop-demo,https://github.com/avs123a/yii2-shop-demo,7,7
phpSendMail,https://github.com/anicetkeric/phpSendMail,7,7
dokuwiki-plugin-farmer,https://github.com/cosmocode/dokuwiki-plugin-farmer,7,6
wabot-web,https://github.com/MaiaVinicius/wabot-web,7,6
crawler,https://github.com/libbit702/crawler,7,6
PEARX,https://github.com/phpbrew/PEARX,7,6
minecraft-achievement-generator,https://github.com/menzerath/minecraft-achievement-generator,7,5
lodestone-php,https://github.com/viion-misc/lodestone-php,7,5
learning,https://github.com/suvllian/learning,7,5
hubtel-laravel-sms-channel,https://github.com/Norris1z/hubtel-laravel-sms-channel,7,5
tableManager,https://github.com/Packet-Clearing-House/tableManager,7,5
haproxy-router,https://github.com/rethinkphp/haproxy-router,7,4
q2a-lang-ru,https://github.com/ferasinka/q2a-lang-ru,7,4
symfony-blog-part-1,https://github.com/auth0-blog/symfony-blog-part-1,7,4
bird-lg,https://github.com/subnetsRU/bird-lg,7,4
Money-Manager,https://github.com/Kuljeet-123/Money-Manager,7,4
coding-standards,https://github.com/bu-ist/coding-standards,7,4
millikart,https://github.com/The-Hasanov/millikart,7,3
churchtools-api,https://github.com/5pm-HDH/churchtools-api,7,3
nigatedev,https://github.com/nigatedev/nigatedev,7,3
planet4-plugin-blocks,https://github.com/greenpeace/planet4-plugin-blocks,7,3
modern-html5-boilerplate,https://github.com/ronilaukkarinen/modern-html5-boilerplate,7,3
gsuite-checker,https://github.com/irazasyed/gsuite-checker,7,3
aether,https://github.com/tumedia/aether,7,3
andreani-sdk-rest,https://github.com/alejoasotelo/andreani-sdk-rest,7,2
spk-kmeans,https://github.com/ipang-dwi/spk-kmeans,7,2
experimental-async-php-vol2,https://github.com/hollodotme/experimental-async-php-vol2,7,2
DropMVC,https://github.com/mkosir/DropMVC,7,2
PhpEcho,https://github.com/rawsrc/PhpEcho,7,1
typecho-theme-Mecho,https://github.com/WarnerYang/typecho-theme-Mecho,7,1
cte-builder,https://github.com/somnambulist-tech/cte-builder,7,1
simple-blog-php,https://github.com/neetjn/simple-blog-php,7,1
elementor-posts-widget-extended,https://github.com/seksitha/elementor-posts-widget-extended,7,1
wordpress-work,https://github.com/lahin31/wordpress-work,7,1
LightningPHP,https://github.com/integrii/LightningPHP,7,1
ehotels,https://github.com/chrispanag/ehotels,7,1
ArgoScuolaNext-API,https://github.com/NyaomiDEV/ArgoScuolaNext-API,7,1
naive-bayes,https://github.com/kholilrnm/naive-bayes,7,1
shaarli-custom-css,https://github.com/immanuelfodor/shaarli-custom-css,7,1
JiraStatusNotifier,https://github.com/Chemaclass/JiraStatusNotifier,7,1
sistema-acompanhamento-enchentes,https://github.com/RobertoDebarba/sistema-acompanhamento-enchentes,7,1
telegram-bot-api,https://github.com/steelbotfw/telegram-bot-api,7,1
php-polyfills,https://github.com/adhocore/php-polyfills,7,1
EmployeeRecruitmentSystem,https://github.com/krupalshah/EmployeeRecruitmentSystem,6,13
core,https://github.com/thegreenter/core,6,12
allegro-api,https://github.com/asocial-media/allegro-api,6,11
CompetencyMatrix,https://github.com/SharpMindsUA/CompetencyMatrix,6,11
ansible-role-docker-php,https://github.com/clouddrove/ansible-role-docker-php,6,10
HtmlDiffBundle,https://github.com/caxy/HtmlDiffBundle,6,10
Buckaroo-PHP-JSON,https://github.com/svennis94/Buckaroo-PHP-JSON,6,10
PHP-Kiyoh-API,https://github.com/JKetelaar/PHP-Kiyoh-API,6,9
zohobooks-api,https://github.com/opsway/zohobooks-api,6,9
frenet-php,https://github.com/FrenetGatewaydeFretes/frenet-php,6,9
php-mysql-apache-phpmyadmin-dockerized,https://github.com/ayoubbensakhria/php-mysql-apache-phpmyadmin-dockerized,6,7
dynadot-api,https://github.com/arturoleon/dynadot-api,6,7
glype,https://github.com/zhukangfeng/glype,6,7
Tutorial-PHP-Edition,https://github.com/CodewithSudeep/Tutorial-PHP-Edition,6,7
Xml,https://github.com/hoaproject/Xml,6,7
pubgapi,https://github.com/rkmaier/pubgapi,6,7
php-slugify,https://github.com/Pharaonic/php-slugify,6,7
msqur,https://github.com/nearwood/msqur,6,6
hello-wordpress-docker-circleci,https://github.com/onefastsnail/hello-wordpress-docker-circleci,6,6
Flash,https://github.com/felixdorn/Flash,6,6
hello-wordpress-docker-circleci,https://github.com/onefastsnail/hello-wordpress-docker-circleci,6,6
smpte.php,https://github.com/fireworkweb/smpte.php,6,5
alarm-dog-consumer,https://github.com/tal-tech/alarm-dog-consumer,6,5
user-authentication,https://github.com/nette-examples/user-authentication,6,5
OnyxDropper,https://github.com/DKOnyx/OnyxDropper,6,5
Convert-Trained-ML-Models-To-Native-Code,https://github.com/Davisy/Convert-Trained-ML-Models-To-Native-Code,6,4
termiiphp,https://github.com/Douglasokolaa/termiiphp,6,4
delphinx,https://github.com/Kuzuru/delphinx,6,4
DoAn_Web2,https://github.com/HoangTran0410/DoAn_Web2,6,4
images,https://github.com/ipublikuj-archive/images,6,4
ecurring-api-php,https://github.com/mooore-digital/ecurring-api-php,6,4
PHP-MySQL-File-upload,https://github.com/MarkxOBrian/PHP-MySQL-File-upload,6,4
dou-collector,https://github.com/LibreCodeCoop/dou-collector,6,4
dash-slimframework,https://github.com/pfefferle/dash-slimframework,6,4
framework,https://github.com/betephp/framework,6,4
MySimpleORM,https://github.com/anthonygauthier/MySimpleORM,6,4
m3u-content-parser,https://github.com/zikwall/m3u-content-parser,6,4
shmcache,https://github.com/WindomZ/shmcache,6,4
php-dynamic-sqlite,https://github.com/TangChr/php-dynamic-sqlite,6,4
deploy-laravel-nfs,https://github.com/bhirons/deploy-laravel-nfs,6,4
PHP7,https://github.com/PluginBOXone/PHP7,6,4
lunar-ecommerce,https://github.com/jorgeepena/lunar-ecommerce,6,4
pagemunch-php,https://github.com/PageMunch/pagemunch-php,6,3
fmRESTor.php,https://github.com/24u/fmRESTor.php,6,3
ArchetypeSonata,https://github.com/jordisala1991/ArchetypeSonata,6,3
behat-format-progress-fail,https://github.com/drevops/behat-format-progress-fail,6,3
Marine_Litter_Detective,https://github.com/MakerBay/Marine_Litter_Detective,6,3
centralized_fail2ban,https://github.com/Egregius/centralized_fail2ban,6,3
Steamlytics-SDK-PHP,https://github.com/waylaidwanderer/Steamlytics-SDK-PHP,6,3
php-output,https://github.com/zhanguangcheng/php-output,6,3
Curso_POO,https://github.com/bl00p1ng/Curso_POO,6,3
Curso_POO,https://github.com/bl00p1ng/Curso_POO,6,3
training-phpextensions,https://github.com/wkhayrattee/training-phpextensions,6,3
appgini-api,https://github.com/rafinhacarneiro/appgini-api,6,3
AvS_AdminNotificationAdvanced,https://github.com/avstudnitz/AvS_AdminNotificationAdvanced,6,3
Email-Manager-System,https://github.com/kirilkirkov/Email-Manager-System,6,3
sass-app,https://github.com/sass-team/sass-app,6,3
iugu-whmcs-pro,https://github.com/eunarede/iugu-whmcs-pro,6,3
phpqa,https://github.com/edmondscommerce/phpqa,6,2
telegram-stickeroptimizer,https://github.com/Lukasss93/telegram-stickeroptimizer,6,2
eagle,https://github.com/parvin92/eagle,6,2
webstreamer,https://github.com/OliverLeitner/webstreamer,6,2
dot-net-json-date-formatter,https://github.com/webapix/dot-net-json-date-formatter,6,2
antlrphpruntime,https://github.com/Smarre/antlrphpruntime,6,2
PHP-SRTM,https://github.com/bobosola/PHP-SRTM,6,2
blogger,https://github.com/yugo412/blogger,6,2
spark,https://github.com/kigsmtua/spark,6,2
google-closure-compiler,https://github.com/Machy8/google-closure-compiler,6,2
blogger,https://github.com/yugo412/blogger,6,2
numbered-string-order,https://github.com/awssat/numbered-string-order,6,2
